0,1,2,3
0,4,5,2
0,4,6,2
0,4,7,2
0,5,4,1
0,5,4,2
0,5,4,3
0,5,5,1
0,5,5,2
0,5,5,3
0,5,6,2
0,6,3,2
0,6,4,0
0,6,4,1
0,6,4,2
0,6,4,3
0,6,5,0
0,6,5,2
0,6,6,0
0,6,6,2
0,7,3,0
0,7,3,2
0,7,4,0
0,7,4,2
0,7,5,0
0,7,5,2
0,7,6,0
0,7,6,2
0,7,10,2
0,7,11,2
0,8,3,0
0,8,3,2
0,8,4,0
0,8,4,2
0,8,5,0
0,8,6,0
0,8,6,7
0,8,9,2
0,8,10,2
0,9,2,0
0,9,3,0
0,9,4,0
0,9,5,0
0,9,5,7
0,9,6,0
0,9,6,7
0,9,7,2
0,9,8,1
0,9,8,2
0,9,9,1
0,9,9,2
0,10,2,0
0,10,3,0
0,10,4,0
0,10,4,7
0,10,5,0
0,10,5,7
0,10,6,7
0,10,7,2
0,10,7,7
0,10,8,2
0,11,4,7
0,11,5,7
0,11,6,7
0,11,7,7
