0,1,2,3
0,1,1,1
0,1,1,2
0,1,1,4
0,1,1,6
0,1,1,7
0,1,1,9
0,1,1,10
0,1,1,14
0,1,1,18
0,1,1,23
0,1,2,0
0,1,2,1
0,1,2,5
0,1,2,6
0,1,2,7
0,1,2,9
0,1,2,11
0,1,2,12
0,1,2,14
0,1,2,17
0,1,2,18
0,1,3,0
0,1,3,3
0,1,3,5
0,1,3,11
0,1,3,15
0,1,3,17
0,1,3,18
0,1,3,19
0,1,4,10
0,1,4,11
0,2,1,1
0,2,1,6
0,2,1,7
0,2,1,9
0,2,1,14
0,2,1,16
0,2,1,17
0,2,1,18
0,2,1,20
0,2,1,23
0,2,2,1
0,2,2,5
0,2,2,10
0,2,2,15
0,2,2,17
0,2,2,18
0,2,2,23
0,2,3,1
0,2,3,4
0,2,3,5
0,2,3,11
0,2,3,13
0,2,3,18
0,2,3,19
0,2,4,1
0,2,4,16
0,3,0,18
0,3,1,0
0,3,1,2
0,3,1,4
0,3,1,5
0,3,1,6
0,3,1,9
0,3,1,13
0,3,1,14
0,3,1,17
0,3,1,18
0,3,1,20
0,3,1,22
0,3,1,23
0,3,2,3
0,3,2,5
0,3,2,8
0,3,2,10
0,3,2,13
0,3,2,14
0,3,2,18
0,3,2,20
0,3,2,23
0,3,2,24
0,3,3,0
0,3,3,1
0,3,3,5
0,3,3,6
0,3,3,7
0,3,3,8
0,3,3,13
0,3,3,23
0,3,4,0
0,3,4,1
0,4,1,5
0,4,1,18
0,4,1,24
0,4,2,5
0,4,2,8
0,4,2,24
0,4,3,0
0,4,3,1
0,4,3,5
0,4,3,6
