N,NodeIndex
0,1
0,5
0,24
0,35
0,48
0,52
0,55
0,66
0,67
0,70
0,71
0,72
0,73
0,81
0,97
0,149
0,151
0,153
0,170
0,180
0,184
0,190
0,200
0,211
0,212
0,214
0,218
0,254
0,266
0,287
0,296
0,297
