Instance,NodeIndex
0,10
0,21
0,22
0,27
0,30
0,32
0,36
0,37
0,45
0,54
0,55
0,58
0,59
0,65
0,71
0,85
0,86
0,97
1,3
1,5
1,7
1,15
1,26
1,28
1,34
1,39
1,41
1,48
1,50
1,57
1,60
1,67
1,72
1,88
